,budget,homepage,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genres_list,genres_count,genres_unique,new_keys,companies,country,language,year,profit,roi
10,270000000,http://www.superman.com,1452,en,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,2006-06-28,270000000,154.0,Released,,Superman Returns,5.4,1400,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",4,Adventure,"['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",['United States of America'],"['en', 'fr', 'de']",2006.0,270000000,100.0
11,200000000,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,2008-10-30,200000000,106.0,Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965,"['Adventure', 'Action', 'Thriller', 'Crime']",4,Adventure,"['killing', 'undercover', 'secret agent', 'british secret service']",['Eon Productions'],"['United Kingdom', 'United States of America']","['en', 'es', 'it', 'fr', 'de']",2008.0,200000000,100.0
12,200000000,http://disney.go.com/disneypictures/pirates/,58,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,2006-06-20,200000000,151.0,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"['Adventure', 'Fantasy', 'Action']",3,Adventure,"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']","['en', 'tr', 'el', 'zh']",2006.0,200000000,100.0
13,255000000,http://disney.go.com/the-lone-ranger/,57201,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,2013-07-03,255000000,149.0,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311,"['Action', 'Adventure', 'Western']",3,Action,"['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",['United States of America'],['en'],2013.0,255000000,100.0
14,225000000,http://www.manofsteel.com/,49521,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,2013-06-12,225000000,143.0,Released,You will believe that a man can fly.,Man of Steel,6.5,6359,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",4,Action,"['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']","['United Kingdom', 'United States of America']",['en'],2013.0,225000000,100.0
15,225000000,,2454,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,2008-05-15,225000000,150.0,Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630,"['Adventure', 'Family', 'Fantasy']",3,Adventure,"['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']","['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",['en'],2008.0,225000000,100.0
16,220000000,http://marvel.com/avengers_movie/,24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,2012-04-25,220000000,143.0,Released,Some assembly required.,The Avengers,7.4,11776,"['Science Fiction', 'Action', 'Adventure']",3,Science Fiction,"['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","['Paramount Pictures', 'Marvel Studios']",['United States of America'],['en'],2012.0,220000000,100.0
17,380000000,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,2011-05-14,380000000,136.0,Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948,"['Adventure', 'Action', 'Fantasy']",3,Adventure,"['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['United States of America'],"['en', 'es']",2011.0,380000000,100.0
18,225000000,http://www.sonypictures.com/movies/meninblack3/,41154,en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,2012-05-23,225000000,106.0,Released,They are back... in time.,Men in Black 3,6.2,4160,"['Action', 'Comedy', 'Science Fiction']",3,Action,"['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']","['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",['United States of America'],['en'],2012.0,225000000,100.0
19,250000000,http://www.thehobbit.com/,122917,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,2014-12-10,250000000,144.0,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,"['Action', 'Adventure', 'Fantasy']",3,Action,"['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']",['en'],2014.0,250000000,100.0
20,215000000,http://www.theamazingspiderman.com,1930,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,2012-06-27,215000000,136.0,Released,The untold story begins.,The Amazing Spider-Man,6.5,6586,"['Action', 'Adventure', 'Fantasy']",3,Action,"['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",['United States of America'],['en'],2012.0,215000000,100.0
21,200000000,http://www.robinhoodthemovie.com/,20662,en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,2010-05-12,200000000,140.0,Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398,"['Action', 'Adventure']",2,Action,"['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']","['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']","['United Kingdom', 'United States of America']","['en', 'th']",2010.0,200000000,100.0
22,250000000,http://www.thehobbit.com/,57158,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,2013-12-11,250000000,161.0,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,"['Adventure', 'Fantasy']",2,Adventure,"['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']",['en'],2013.0,250000000,100.0
23,180000000,http://www.goldencompassmovie.com/index_german.html,2268,en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,2007-12-04,180000000,113.0,Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303,"['Adventure', 'Fantasy']",2,Adventure,"['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']","['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']","['United Kingdom', 'United States of America']","['is', 'en', 'ru', 'fr']",2007.0,180000000,100.0
24,207000000,,254,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601,2005-12-14,207000000,187.0,Released,The eighth wonder of the world.,King Kong,6.6,2337,"['Adventure', 'Drama', 'Action']",3,Adventure,"['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']","['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']","['New Zealand', 'United States of America', 'Germany']",['en'],2005.0,207000000,100.0
25,200000000,http://www.titanicmovie.com,597,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,1997-11-18,200000000,194.0,Released,Nothing on Earth could come between them.,Titanic,7.5,7562,"['Drama', 'Romance', 'Thriller']",3,Drama,"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']","['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['United States of America'],"['en', 'fr', 'de', 'sv', 'it', 'ru']",1997.0,200000000,100.0
26,250000000,http://marvel.com/captainamericapremiere,271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,2016-04-27,250000000,147.0,Released,Divided We Fall,Captain America: Civil War,7.1,7241,"['Adventure', 'Action', 'Science Fiction']",3,Adventure,"['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",['United States of America'],"['ro', 'en', 'de', 'ru']",2016.0,250000000,100.0
27,209000000,,44833,en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,2012-04-11,209000000,131.0,Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",4,Thriller,"['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']","['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",['United States of America'],"['en', 'th']",2012.0,209000000,100.0
28,150000000,http://www.jurassicworld.com/,135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,2015-06-09,150000000,124.0,Released,The park is open.,Jurassic World,6.5,8662,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",4,Action,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",['United States of America'],['en'],2015.0,150000000,100.0
29,200000000,http://www.skyfall-movie.com,37724,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,2012-10-25,200000000,143.0,Released,Think on your sins.,Skyfall,6.9,7604,"['Action', 'Adventure', 'Thriller']",3,Action,"['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']",['Columbia Pictures'],"['United Kingdom', 'United States of America']",['en'],2012.0,200000000,100.0
30,200000000,http://www.sonypictures.com/movies/spider-man2/,558,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,2004-06-25,200000000,127.0,Released,There's a hero in all of us.,Spider-Man 2,6.7,4321,"['Action', 'Adventure', 'Fantasy']",3,Action,[],"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],"['en', 'ru', 'zh']",2004.0,200000000,100.0
31,200000000,http://marvel.com/ironman3,68721,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,2013-04-18,200000000,130.0,Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806,"['Action', 'Adventure', 'Science Fiction']",3,Action,"['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']",['Marvel Studios'],"['China', 'United States of America']",['en'],2013.0,200000000,100.0
32,200000000,http://disney.go.com/wonderland/,12155,en,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,2010-03-03,200000000,108.0,Released,You're invited to a very important date.,Alice in Wonderland,6.4,4645,"['Family', 'Fantasy', 'Adventure']",3,Family,"['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']","['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",['United States of America'],['en'],2010.0,200000000,100.0
33,210000000,,36668,en,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,2006-05-24,210000000,104.0,Released,Take a Stand,X-Men: The Last Stand,6.3,3525,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",4,Adventure,"['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']",[],"['Canada', 'United Kingdom', 'United States of America']",['en'],2006.0,210000000,100.0
34,200000000,,62211,en,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,2013-06-20,200000000,104.0,Released,School never looked this scary.,Monsters University,7.0,3528,"['Animation', 'Family']",2,Animation,"['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],['en'],2013.0,200000000,100.0
